EID,GPU Duration (¦Ìs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
250,3.072,2406,802,0,802,794,14,1604,0,0,0,8,0
251,2.048,636,212,0,212,146,0,424,0,0,0,0,0
252,2.048,6144,2048,0,2048,234,0,4096,0,0,0,0,0
253,3.072,12330,4110,0,4110,331,51,8220,0,0,0,29,0
254,4.096,9138,3046,0,3046,985,236,6092,0,0,0,190,0
255,4.096,4464,1488,0,1488,1479,0,2976,0,0,0,0,0
256,2.048,4608,1536,0,1536,927,0,3072,0,0,0,0,0
257,2.048,48,16,0,16,16,0,32,0,0,0,0,0
258,5.12,5718,1906,0,1906,688,38,3812,0,0,0,36,0
259,2.048,3546,1182,0,1182,190,0,2364,0,0,0,0,0
260,3.072,192,64,0,64,44,0,128,0,0,0,0,0
261,2.048,6144,2048,0,2048,125,0,4096,0,0,0,0,0
262,2.048,8124,2708,0,2708,0,0,5416,0,0,0,0,0
263,2.048,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
264,4.096,1368,456,0,456,456,873,912,0,0,0,618,0
265,3.04,6144,2048,0,2048,2034,0,4096,0,0,0,0,0
266,2.048,6144,2048,0,2048,2047,0,4096,0,0,0,0,0
267,17.408,10596,3532,0,3532,2673,481409,7064,0,0,0,151779,0
268,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
269,4.096,12,4,0,4,4,26,8,0,0,0,22,0
270,5.12,2406,802,0,802,802,6895,1604,0,0,0,3622,0
271,8.192,13218,4406,0,4406,4406,33362,8812,0,0,0,16018,0
272,7.168,18534,6178,0,6178,6178,13768,12356,0,0,0,7601,0
273,4.096,1542,514,0,514,514,13,1028,0,0,0,11,0
274,2.048,1536,512,0,512,512,0,1024,0,0,0,0,0
275,3.072,9870,3290,0,3290,431,0,6580,0,0,0,0,0
276,4.096,1632,544,0,544,544,5951,1088,0,0,0,2757,0
277,3.072,1536,512,0,512,512,0,1024,0,0,0,0,0
278,3.072,6144,2048,0,2048,1226,0,4096,0,0,0,0,0
279,5.12,6858,2286,0,2286,65,1160,4572,0,0,0,517,0
280,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
281,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
282,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
283,3.072,84,28,0,28,28,0,56,0,0,0,0,0
284,8.192,5736,1912,0,1912,1737,83435,3824,0,0,0,28945,0
285,6.144,10284,3428,0,3428,2491,3121,6856,0,0,0,1745,0
286,6.144,6684,2228,0,2228,2228,7090,4456,0,0,0,5267,0
287,3.072,6144,2048,0,2048,646,0,4096,0,0,0,0,0
288,7.168,14766,4922,0,4922,4918,989,9844,0,0,0,617,0
289,5.12,4890,1630,0,1630,1630,569,3260,0,0,0,342,0
290,3.072,6144,2048,0,2048,637,0,4096,0,0,0,0,0
291,10.24,4032,1344,0,1344,905,175554,2688,0,0,0,56935,0
292,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
293,4.096,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
294,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
295,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
296,9.216,9450,3150,0,3150,3150,29074,6300,0,0,0,16908,0
297,6.144,3582,1194,0,1194,1194,13479,2388,0,0,0,7003,0
298,7.168,7338,2446,0,2446,2446,20059,4892,0,0,0,10895,0
